1542115578.000000, 1542115578.000000, 1542115578.000000
32.000000, 32.000000, 32.000000
20,-17,53
34,-6,57
28,-6,57
30,-6,50
40,2,49
21,-2,49
32,-3,54
36,-1,56
27,-3,56
30,-2,57
45,8,56
42,6,58
31,3,58
27,3,52
30,3,52
32,7,57
31,4,55
26,1,53
31,4,57
35,8,57
32,3,53
31,1,52
31,0,54
30,-1,54
43,-3,62
33,3,60
30,0,57
19,-8,47
21,1,49
24,3,55
28,2,55
23,8,59
27,1,58
25,4,58
26,-3,58
27,-2,60
28,4,58
23,4,56
23,1,56
25,1,59
22,3,56
25,1,57
26,1,58
26,4,57
26,-2,55
30,-6,64
25,13,51
31,17,53
34,29,52
37,32,53
36,34,52
26,24,49
23,25,47
24,28,46
28,28,50
24,26,48
29,29,50
29,40,47
29,41,46
21,33,43
23,31,43
26,37,45
24,36,45
23,38,43
26,49,40
24,46,40
26,39,43
29,45,44
26,52,37
27,47,39
19,47,36
20,45,35
17,49,34
15,47,27
21,53,28
19,55,25
17,54,23
22,58,23
19,59,20
18,58,19
14,53,19
14,54,19
16,55,21
18,67,9
18,77,29
7,68,13
10,62,13
6,65,20
12,59,23
3,58,23
6,58,15
-1,63,22
-2,57,26
0,51,27
4,49,32
4,52,32
0,52,30
6,51,38
8,52,44
7,43,43
4,37,49
7,38,49
4,44,47
9,43,47
2,40,46
3,43,45
-2,47,40
-3,47,43
-2,44,44
3,41,46
4,43,46
5,48,45
5,46,46
6,45,46
6,43,44
5,45,45
5,46,45
6,45,45
5,42,45
5,45,45
5,45,45
3,46,44
4,48,44
4,46,44
3,44,44
3,45,44
3,47,44
2,47,44
2,46,44
3,46,44
3,46,44
3,47,44
3,47,44
3,46,44
2,45,44
3,47,44
4,47,45
4,48,45
3,45,46
3,45,47
3,44,47
1,41,49
-4,36,49
-1,36,52
-2,37,54
-5,33,53
-8,33,52
-4,35,55
-8,36,52
-10,34,52
-17,30,52
-20,29,52
-19,30,53
-21,29,53
-22,28,50
-16,29,52
-15,30,53
-15,30,52
-16,29,53
-14,25,54
-8,24,56
-6,23,55
0,21,56
4,22,57
7,23,57
16,21,56
17,25,59
18,22,57
18,22,57
21,21,56
21,26,57
23,24,56
19,33,55
26,20,55
31,29,52
35,30,51
30,27,50
25,24,45
27,23,44
31,26,46
30,27,45
37,25,46
37,29,45
38,25,43
49,30,49
40,33,34
40,30,40
46,27,47
40,24,48
35,23,39
37,25,41
46,16,56
42,19,53
29,22,39
50,19,60
43,26,56
26,16,43
28,11,45
