1539692542.000000, 1539692542.000000, 1539692542.000000
32.000000, 32.000000, 32.000000
-57,51,-14
-55,51,-14
-121,45,37
-62,54,-13
-70,81,-4
-32,13,9
-21,-7,2
-73,37,12
-93,34,9
-29,14,8
-33,13,4
-51,30,-3
-68,23,-10
-55,22,-13
-74,25,-19
-72,15,-4
-64,21,-10
-57,29,-8
-52,-10,-8
-57,2,-16
-89,39,-25
-95,22,-42
-59,19,-23
-63,23,-28
-59,22,-24
-54,12,-17
-55,12,-17
-67,20,-30
-65,31,-30
-56,25,-24
-52,16,-22
-50,22,-18
-57,19,-18
-61,26,-18
-49,21,-19
-46,26,-18
-60,28,-23
-63,33,-22
-58,11,-18
-74,8,-23
-81,26,-24
-53,20,-26
-58,30,-20
-69,31,-21
-51,17,-18
-64,12,-17
-70,28,-9
-64,29,-17
-52,26,-15
-51,11,-11
-60,17,-10
-55,10,-13
-62,20,-11
-74,24,-12
-61,25,-13
-57,13,-7
-65,9,-9
-57,16,-10
-67,24,-11
-71,20,-12
-64,19,-10
-66,19,-8
-66,8,-8
-68,8,-8
-59,20,-6
-60,12,-4
-69,10,-6
-53,24,-5
-58,18,-4
-73,14,-7
-64,18,-6
-64,13,-2
-83,8,-1
-73,16,-1
-68,14,-2
-75,16,5
-71,8,10
-98,26,5
-23,17,2
-35,12,2
-70,-3,25
-36,-20,27
-37,-2,18
-74,20,11
-68,-2,14
-63,-6,9
-78,-7,9
-79,-18,12
-74,-35,14
-57,-4,1
-37,-26,9
-80,-25,19
-76,-11,10
-52,20,4
-72,8,15
-45,-36,25
-42,-46,17
-60,-24,10
-55,-18,7
-31,-5,-10
-55,85,-41
-79,95,-9
-58,24,18
-56,38,56
-116,15,66
-71,-4,40
-70,50,10
-76,27,20
-69,31,28
-63,22,25
-51,6,13
-43,16,8
-73,17,10
-55,28,10
-48,37,12
-71,24,15
-78,30,16
-38,28,16
-50,18,19
-72,16,27
-71,23,25
-85,23,23
-52,37,20
-40,27,19
-52,-3,46
-63,-21,39
1,30,35
8,15,39
-40,-9,49
-47,-12,46
-6,3,51
8,-8,52
-18,-31,53
-39,0,68
-58,-3,78
-53,-1,62
-37,10,55
-52,-18,56
-35,-22,58
-27,-13,46
-40,-15,47
-31,-19,42
-16,-4,37
-32,-2,47
-60,2,51
