1542075538.000000, 1542075538.000000, 1542075538.000000
32.000000, 32.000000, 32.000000
41,33,-43
58,28,-29
52,30,-27
35,10,-48
15,31,-50
32,21,-43
67,17,-35
54,31,-38
28,36,-47
38,18,-49
42,16,-50
51,15,-31
56,12,-29
43,22,-50
40,34,-49
42,38,-38
58,22,-42
52,29,-41
32,41,-35
49,25,-32
51,20,-25
48,27,-31
57,27,-30
61,27,-28
55,32,-38
47,32,-34
48,26,-31
46,31,-35
50,36,-35
50,29,-28
58,30,-32
55,48,-34
56,47,-19
58,21,-19
50,24,-37
36,40,-32
50,25,-30
58,18,-32
45,20,-34
58,13,-19
66,10,-17
66,19,-30
57,29,-13
60,20,-13
61,14,-16
53,22,-19
51,29,-16
58,30,-15
58,37,-15
43,37,-13
49,25,-12
50,31,-16
48,43,-11
50,34,-7
52,10,-9
45,8,-16
40,4,-18
52,4,-16
83,44,-15
52,47,-17
60,11,-9
86,-4,-33
70,21,-26
64,43,-9
70,12,-12
66,7,-17
70,-4,-9
69,-5,-7
76,11,-19
66,26,-11
59,20,-11
68,-1,-14
62,-2,-13
55,5,-17
58,12,-12
58,15,-9
76,2,-8
68,3,-4
56,0,-7
64,1,-10
63,10,-10
63,18,-10
65,27,-15
62,22,-9
64,13,-11
65,2,-12
66,8,-12
58,28,-9
57,31,-9
66,17,-6
71,17,-9
60,26,-11
54,22,-12
61,16,-5
60,18,-4
60,19,0
58,15,-2
60,30,-6
57,36,2
61,25,-3
66,13,0
63,10,1
53,21,-5
55,24,-2
59,18,4
63,16,-1
60,25,3
62,15,5
64,13,4
65,22,4
60,31,-1
57,29,-5
63,22,-4
62,19,1
56,20,-2
58,20,-2
52,23,-4
51,24,-4
59,18,0
57,24,-3
53,29,-1
58,25,0
63,22,0
60,24,-1
58,27,-3
65,26,-2
59,28,-2
58,27,-3
59,22,-1
59,22,-1
59,23,0
60,24,-1
61,27,0
64,26,2
67,25,3
67,21,-1
65,23,-3
63,27,-1
62,21,0
56,21,-5
49,21,-5
54,18,-1
57,20,-1
53,24,-1
52,22,0
57,21,-1
52,26,-2
54,30,0
61,27,2
68,29,-3
70,29,-3
69,27,-1
55,21,-1
49,19,-4
48,18,0
53,22,1
62,34,-5
73,34,-5
72,30,-3
55,20,-6
47,18,-4
46,15,3
57,22,3
55,29,-1
56,36,-9
66,31,-8
82,23,-4
76,26,-2
56,27,-1
51,19,-2
54,19,-5
59,27,-5
63,29,-3
71,23,-7
55,26,-8
50,26,-6
52,18,-4
54,17,-4
57,23,-8
58,26,-6
67,28,-3
65,25,1
65,25,2
61,23,4
64,23,5
69,27,3
69,29,3
75,21,1
70,20,-1
60,22,-2
50,20,-2
50,18,-1
47,13,5
52,10,6
51,12,7
50,17,6
52,18,4
54,24,13
57,21,6
58,16,7
56,25,3
56,31,5
62,29,6
63,25,5
60,23,4
63,23,5
66,21,7
63,28,3
56,31,0
64,27,0
68,26,-1
59,27,-1
56,26,-4
54,25,-4
54,23,-1
56,22,-1
56,25,0
51,29,0
57,27,-2
66,26,1
63,27,-1
64,23,2
64,20,1
55,22,-3
