EpochNum,StartTime,EndTime,BinaryLabels
85,2018-11-13 13:33:23,2018-11-13 13:33:28,1.0
86,2018-11-13 13:33:28,2018-11-13 13:33:33,1.0
87,2018-11-13 13:33:33,2018-11-13 13:33:38,1.0
88,2018-11-13 13:33:38,2018-11-13 13:33:43,1.0
89,2018-11-13 13:33:43,2018-11-13 13:33:48,1.0
90,2018-11-13 13:33:48,2018-11-13 13:33:53,1.0
91,2018-11-13 13:33:53,2018-11-13 13:33:58,1.0
92,2018-11-13 13:33:58,2018-11-13 13:34:03,1.0
93,2018-11-13 13:34:03,2018-11-13 13:34:08,1.0
94,2018-11-13 13:34:08,2018-11-13 13:34:13,1.0
95,2018-11-13 13:34:13,2018-11-13 13:34:18,1.0
96,2018-11-13 13:34:18,2018-11-13 13:34:23,1.0
97,2018-11-13 13:34:23,2018-11-13 13:34:28,1.0
98,2018-11-13 13:34:28,2018-11-13 13:34:33,1.0
99,2018-11-13 13:34:33,2018-11-13 13:34:38,1.0
100,2018-11-13 13:34:38,2018-11-13 13:34:43,1.0
101,2018-11-13 13:34:43,2018-11-13 13:34:48,1.0
102,2018-11-13 13:34:48,2018-11-13 13:34:53,1.0
103,2018-11-13 13:34:53,2018-11-13 13:34:58,1.0
104,2018-11-13 13:34:58,2018-11-13 13:35:03,1.0
105,2018-11-13 13:35:03,2018-11-13 13:35:08,1.0
106,2018-11-13 13:35:08,2018-11-13 13:35:13,1.0
107,2018-11-13 13:35:13,2018-11-13 13:35:18,1.0
108,2018-11-13 13:35:18,2018-11-13 13:35:23,1.0
109,2018-11-13 13:35:23,2018-11-13 13:35:28,1.0
110,2018-11-13 13:35:28,2018-11-13 13:35:33,1.0
111,2018-11-13 13:35:33,2018-11-13 13:35:38,1.0
112,2018-11-13 13:35:38,2018-11-13 13:35:43,1.0
113,2018-11-13 13:35:43,2018-11-13 13:35:48,1.0
114,2018-11-13 13:35:48,2018-11-13 13:35:53,1.0
115,2018-11-13 13:35:53,2018-11-13 13:35:58,1.0
116,2018-11-13 13:35:58,2018-11-13 13:36:03,1.0
117,2018-11-13 13:36:03,2018-11-13 13:36:08,1.0
118,2018-11-13 13:36:08,2018-11-13 13:36:13,1.0
119,2018-11-13 13:36:13,2018-11-13 13:36:18,1.0
120,2018-11-13 13:36:18,2018-11-13 13:36:23,1.0
121,2018-11-13 13:36:23,2018-11-13 13:36:28,1.0
